"","nuc.power1","nuc.power2","CO2Price","ban.fuel.explore1","ban.fuel.explore2","RFS1","RFS2","id","p1.utility","p2.utility","p3.utility","p4.utility","group.score","group.sd","var.total","mean.total","new.utility"
"1",0,1,150,0,1,1,0,27,-2.05396881378706,-23.0134163575261,-2.40873382649098,-2.00560654932647,-7.37043138678266,10.4302051961496,1.48313142479007,2.6832593651991,5.04724400546565
"2",0,1,120,0,1,0,0,87,-5.34840463807383,-8.18842547443685,-4.13526046903091,0.0210541101688509,-4.41275911784318,3.4091442825059,2.18329059055717,1.6307943996296,4.49900214024999
"3",0,1,60,0,1,0,0,143,-5.34840463807383,-8.18842547443685,-4.13526046903091,0.0210541101688509,-4.41275911784318,3.4091442825059,2.12083363435985,1.6307943996296,4.45767934581948
"4",0,1,120,0,0,1,0,122,-10.3427259018276,-24.0945775928282,-4.38801556963089,-1.79093781692256,-10.1540642203023,9.95929560093594,2.18329059055717,1.50181689990559,4.37002464052598
"5",1,0,150,0,0,1,0,133,-2.08952370506871,-21.8999393985333,-1.70640503273579,-1.05990275587075,-6.68894272305214,10.1495623543093,2.18329059055717,1.28954625610234,4.15775399672273
"6",0,1,90,0,1,1,0,13,-4.62763339312957,-24.3602542307004,-3.17528748091128,-1.28732568572908,-8.36262519761758,10.7524049128528,1.26193255275106,1.87215383994694,4.0527382548203
"7",0,1,150,0,1,0,0,71,-2.77474005873132,-6.84158760126257,-3.36870681461061,-0.697226753428545,-3.42056530700826,2.55210670948169,0.512854673414834,2.44189992488177,3.83201896144739
"8",0,1,30,0,0,0,0,25,-11.0634971467719,-7.92274883656464,-5.34798855775052,-0.482558021024634,-6.20419814052792,4.47349467544415,1.65295052331842,1.26045745958826,3.75611367193452
"9",0,1,60,0,1,1,0,34,-4.62763339312957,-24.3602542307004,-3.17528748091128,-1.28732568572908,-8.36262519761758,10.7524049128528,0.925032243726919,1.87215383994694,3.73910633577043
"10",0,1,150,0,0,1,0,22,-7.76906132248513,-22.7477397196539,-3.62146191521059,-2.50921868051996,-9.1618704094674,9.33576748096888,0.486165976469122,2.31292242515776,3.66638768536
"11",0,1,0,0,1,0,0,26,-5.34840463807383,-8.18842547443685,-4.13526046903091,0.0210541101688509,-4.41275911784318,3.4091442825059,1.03466168666852,1.6307943996296,3.60528020424061
"12",0,0,90,0,1,1,0,89,-2.72284044825518,-23.2886172411548,-1.49216792851715,-0.90028253124749,-7.10097703729365,10.8184276019815,2.12083363435985,0.743496449152406,3.57038139534229
"13",1,0,30,0,1,0,0,151,0.331132979342592,-7.34062515331625,-2.22020358655612,1.47037003481806,-1.93983143142793,3.91722413481503,2.12083363435985,0.607418230574187,3.43430317676407
"14",0,1,30,0,1,1,0,32,-4.62763339312957,-24.3602542307004,-3.17528748091128,-1.28732568572908,-8.36262519761758,10.7524049128528,0.574254964199883,1.87215383994694,3.34313534091356
"15",0,1,150,0,0,0,0,111,-8.48983256742939,-6.57591096339036,-4.58143490333022,-1.20083888462203,-5.212004329693,3.11402554532129,0.405041209692588,2.07156298484042,3.30695399791695
"16",0,0,120,0,1,1,0,43,-2.72284044825518,-23.2886172411548,-1.49216792851715,-0.90028253124749,-7.10097703729365,10.8184276019815,1.69963285166551,0.743496449152406,3.27414823183652
"17",0,1,90,0,1,0,0,145,-5.34840463807383,-8.18842547443685,-4.13526046903091,0.0210541101688509,-4.41275911784318,3.4091442825059,0.67245050740306,1.6307943996296,3.22258155090089
"18",0,0,120,0,0,1,0,95,-8.43793295695324,-23.0229406032826,-2.70489601723676,-1.40389466244098,-8.89241605997839,9.90356225070155,2.12083363435985,0.373159509111063,3.20004445530095
"19",0,1,120,0,0,0,0,123,-11.0634971467719,-7.92274883656464,-5.34798855775052,-0.482558021024634,-6.20419814052792,4.47349467544415,0.925032243726919,1.26045745958826,3.12740995541175
"20",0,1,0,0,1,1,0,108,-4.62763339312957,-24.3602542307004,-3.17528748091128,-1.28732568572908,-8.36262519761758,10.7524049128528,0.405041209692588,1.87215383994694,3.10754485302347
"21",0,1,30,0,1,0,0,156,-5.34840463807383,-8.18842547443685,-4.13526046903091,0.0210541101688509,-4.41275911784318,3.4091442825059,0.576114727102345,1.6307943996296,3.10415591092056
"22",0,1,120,0,1,1,0,82,-4.62763339312957,-24.3602542307004,-3.17528748091128,-1.28732568572908,-8.36262519761758,10.7524049128528,0.38517402916466,1.87215383994694,3.07686610061329
"23",0,0,150,0,1,0,0,141,-0.869947113856933,-5.76995061171696,-1.68558726221648,-0.310183598946958,-2.15891714668433,2.47270859188681,0.820067758266278,1.31324253408723,3.0710839833405
"24",0,1,0,0,0,0,0,117,-11.0634971467719,-7.92274883656464,-5.34798855775052,-0.482558021024634,-6.20419814052792,4.47349467544415,0.86105642727335,1.26045745958826,3.06169354296734
"25",1,0,150,0,1,1,0,110,3.62556880362936,-22.1656160364055,-0.493676944016185,-0.556290624677266,-4.8975037003674,11.6771898678137,0.50813616192229,1.65988319614369,3.0435925712937
"26",0,0,90,0,1,0,0,46,-3.44361169319944,-7.11678848489124,-2.45214091663678,0.408097264650438,-3.15111095751925,3.10744682004848,1.69963285166551,0.502137008835069,3.03278879151919
"27",1,0,30,0,1,1,0,152,1.05190422428685,-23.5124539095798,-1.26023059843649,0.161990238920129,-5.88969751120232,11.7870305315076,1.25934048590479,0.848777670891523,3.02712142479643
"28",0,0,150,0,1,1,0,5,-0.149175868912673,-21.9417793679805,-0.725614274096847,-1.61856339484489,-6.10878322645873,10.5726261130565,0.558558822392362,1.55460197440457,3.00534098655574
"29",0,1,0,0,0,1,0,84,-10.3427259018276,-24.0945775928282,-4.38801556963089,-1.79093781692256,-10.1540642203023,9.95929560093594,0.576114727102345,1.50181689990559,2.97517841119656
"30",0,1,60,1,0,1,0,50,-9.80215140219878,-24.3721902888599,-2.60630438866879,-2.12549351387508,-9.72653489840065,10.3758445810887,1.69963285166551,0.442325453665523,2.97297723634964
"31",0,1,60,0,0,1,0,149,-10.3427259018276,-24.0945775928282,-4.38801556963089,-1.79093781692256,-10.1540642203023,9.95929560093594,0.574254964199883,1.50181689990559,2.97279840087222
"32",0,1,90,0,0,1,0,6,-10.3427259018276,-24.0945775928282,-4.38801556963089,-1.79093781692256,-10.1540642203023,9.95929560093594,0.489321477625885,1.50181689990559,2.85966744589911
"33",0,1,90,0,0,0,0,83,-11.0634971467719,-7.92274883656464,-5.34798855775052,-0.482558021024634,-6.20419814052792,4.47349467544415,0.67245050740306,1.26045745958826,2.85224461085955
"34",0,1,60,0,0,0,0,161,-11.0634971467719,-7.92274883656464,-5.34798855775052,-0.482558021024634,-6.20419814052792,4.47349467544415,0.67245050740306,1.26045745958826,2.85224461085955
"35",1,0,60,0,1,1,0,104,1.05190422428685,-23.5124539095798,-1.26023059843649,0.161990238920129,-5.88969751120232,11.7870305315076,1.03466168666852,0.848777670891523,2.82326347550253
